DataSeries,20254Q,20253Q,20252Q,20251Q,20244Q,20243Q,20242Q,20241Q,20234Q,20233Q,20232Q,20231Q,20224Q,20223Q,20222Q,20221Q,20214Q,20213Q,20212Q,20211Q,20204Q,20203Q,20202Q,20201Q,20194Q,20193Q,20192Q,20191Q,20184Q,20183Q,20182Q,20181Q,20174Q,20173Q,20172Q,20171Q,20164Q,20163Q,20162Q,20161Q,20154Q,20153Q,20152Q,20151Q,20144Q,20143Q,20142Q,20141Q,20134Q,20133Q,20132Q,20131Q,20124Q,20123Q,20122Q,20121Q,20114Q,20113Q,20112Q,20111Q,20104Q,20103Q,20102Q,20101Q,20094Q,20093Q,20092Q,20091Q,20084Q,20083Q,20082Q,20081Q
Tourism Receipts,32755,24105,15766,8087,29781,22421,14923,8077,27156,20308,12446,6018,14178,9084,4573,1417,1894,1190,828,425,4830,4436,4187,4029,27689,20549,13166,6600,26942,20611,13462,6868,26807,20346,13405,6725,25748,19379,12269,5639,21777,16392,10353,5314,23560,17856,11895,6216,23469,17789,11523,5763,23081,17106,11521,6023,22277,16676,10713,5370,18341,13203,8077,3603,12642,9292,6090,3154,15475,11692,7636,3857
    Accommodation,5414,3898,2561,1391,5141,3858,2442,1314,4471,3338,2031,1009,2963,1938,1046,500,580,333,210,108,1022,905,875,862,5529,4090,2565,1256,5666,4390,2933,1436,6016,4588,2928,1525,5916,4513,2748,1280,4680,3514,2179,1092,5309,4053,2687,1377,5332,3966,2564,1283,5038,3758,2491,1274,4390,3228,2119,1039,3623,2670,1686,757,2839,2100,1387,724,3608,2786,1819,902
    Food & Beverage,4912,3660,2380,1259,4269,3192,2051,1103,3977,3008,1858,868,1282,756,367,113,192,129,93,48,454,412,390,376,2497,1848,1175,588,2593,1946,1234,630,2649,2032,1405,700,2787,2145,1377,591,2319,1723,1072,532,2263,1705,1110,576,2294,1740,1139,582,2246,1671,1112,561,2239,1675,1091,546,1903,1390,889,417,1512,1104,727,377,1848,1399,916,448
    Shopping,5208,3865,2499,1305,5198,3893,2563,1338,4953,3715,2321,1098,2784,1745,900,211,174,118,87,45,703,675,664,656,5640,4183,2757,1371,5385,4053,2716,1470,6172,4727,3209,1611,5958,4355,2716,1176,3913,2920,1880,961,4116,3141,2049,1088,4553,3482,2356,1175,4588,3398,2305,1207,4489,3267,2081,1039,3971,2898,1897,942,3377,2448,1619,852,3982,2970,2004,1069
"    Sightseeing, Entertainment & Gaming",7349,5317,3496,1622,6069,4613,3330,1937,5064,3691,2121,1007,2337,1568,752,162,223,132,113,62,951,909,863,858,5997,4404,2899,1457,5859,4472,2952,1498,5618,4224,2897,1414,5348,3981,2573,1199,5093,3935,2594,1372,5823,4412,3092,1617,5471,4148,2667,1349,5240,3791,2713,1513,5391,4090,2619,1339,3423,2178,1030,219,201,151,101,37,177,113,72,37
    Other Components,9871,7367,4829,2511,9104,6866,4538,2386,8690,6557,4116,2036,4812,3076,1509,431,723,477,324,162,1700,1534,1396,1278,8026,6024,3770,1929,7440,5749,3627,1834,6352,4774,2966,1475,5739,4385,2855,1394,5772,4301,2628,1356,6049,4546,2957,1558,5819,4453,2798,1373,5970,4489,2901,1467,5768,4416,2803,1407,5421,4067,2576,1269,4712,3490,2256,1164,5861,4424,2825,1401
